growth_rate,group,cohort
13.71831917,environmental,before
13.8433628,environmental,before
13.20878307,environmental,before
14.32071811,environmental,before
14.32071811,environmental,before
14.17644352,environmental,before
14.99590724,environmental,before
14.32071811,environmental,before
13.55543345,environmental,before
13.33551183,environmental,before
14.36634114,environmental,before
13.37264001,environmental,before
13.96673501,environmental,before
13.96477289,environmental,before
14.47963794,environmental,before
13.6402289,environmental,before
13.56553586,environmental,before
13.55543345,environmental,before
13.55543345,environmental,before
13.56553586,environmental,before
13.89343369,environmental,before
14.41572711,environmental,before
14.13759702,environmental,before
14.28542413,environmental,before
13.55543345,environmental,before
14.31729305,environmental,before
14.47963794,environmental,before
14.13759702,environmental,before
14.79943537,environmental,before
13.93483087,environmental,before
7.062649535,environmental,before
14.13259182,environmental,before
14.47963794,environmental,before
14.3506377,environmental,before
13.0492974,environmental,before
14.04978589,environmental,before
13.56553586,environmental,before
13.03337497,environmental,before
13.87044979,environmental,before
14.47758419,environmental,before
13.71831917,environmental,before
14.31729305,environmental,before
14.47963794,environmental,before
14.13259182,environmental,before
14.47963794,environmental,before
7.062649535,environmental,before
14.31729305,environmental,before
14.13759702,environmental,before
13.09723503,environmental,before
13.54348614,environmental,before
13.56553586,environmental,before
13.52515313,environmental,before
13.72700571,environmental,before
8.939035761,environmental,before
14.29651686,environmental,before
13.25485803,environmental,before
14.13259182,environmental,before
15.15410297,environmental,before
13.48819492,environmental,before
13.56553586,environmental,before
14.47963794,environmental,before
9.444513891,environmental,before
13.37464114,environmental,before
13.27984628,environmental,before
13.54348614,environmental,before
14.16929953,environmental,before
15.00963354,environmental,before
14.32941746,environmental,before
14.29651686,environmental,before
14.28426937,environmental,before
14.13259182,environmental,before
13.59240834,environmental,before
14.28907317,environmental,before
14.04435967,environmental,before
14.29651686,environmental,before
14.47758419,environmental,before
14.13759702,environmental,before
14.47963794,environmental,before
14.16929953,environmental,before
14.47963794,environmental,before
9.444513891,environmental,before
14.47758419,environmental,before
14.47963794,environmental,before
13.29367778,environmental,before
12.93128189,environmental,before
13.69648062,environmental,before
14.08390814,environmental,before
13.56553586,environmental,before
14.28907317,environmental,before
14.68717562,environmental,before
15.15410297,environmental,before
14.04978589,environmental,before
12.39758466,environmental,before
14.28907317,environmental,before
13.28751751,environmental,before
14.13259182,environmental,before
14.13759702,environmental,before
13.71831917,environmental,before
14.58603797,environmental,before
14.29651686,environmental,before
14.10836212,environmental,before
13.08977979,environmental,before
14.28907317,environmental,before
13.84295675,environmental,before
14.51540799,environmental,before
14.41572711,environmental,before
13.38417502,environmental,before
12.75840054,environmental,before
13.11897324,environmental,before
13.37615834,environmental,before
14.04978589,environmental,before
14.41249474,environmental,before
14.47963794,environmental,before
13.54713213,environmental,before
15.19328821,environmental,before
14.47963794,environmental,before
13.28751751,environmental,before
14.13259182,environmental,before
13.66854173,environmental,before
15.15410297,environmental,before
13.55730052,environmental,before
11.78229216,environmental,before
14.28064779,environmental,before
15.19328821,environmental,before
14.53810877,environmental,before
14.13759702,environmental,before
14.10836212,environmental,before
14.04978589,environmental,before
14.5139191,environmental,before
13.49281941,environmental,before
14.5139191,environmental,before
9.564720727,environmental,before
13.55543345,environmental,before
13.84295675,environmental,before
13.90007627,environmental,before
9.593690137,environmental,before
14.31729305,environmental,before
9.657365524,environmental,before
13.60820553,environmental,before
14.81362052,environmental,before
13.56553586,environmental,before
12.31529215,environmental,before
13.84295675,environmental,before
13.14967008,environmental,before
14.47963794,environmental,before
14.32941746,environmental,before
13.87044979,environmental,before
13.72700571,environmental,before
13.72700571,environmental,before
14.32071811,environmental,before
14.47963794,environmental,before
13.15730983,environmental,before
13.72700571,environmental,before
13.8433628,environmental,before
14.41572711,environmental,before
14.04978589,environmental,before
9.593690137,environmental,before
9.383666105,environmental,before
14.13259182,environmental,before
14.95555847,environmental,before
13.33177853,environmental,before
13.94501082,environmental,before
14.47758419,environmental,before
13.71867234,environmental,before
14.29651686,environmental,before
13.27984628,environmental,before
14.47963794,environmental,before
14.22884162,environmental,before
13.56553586,environmental,before
13.25485803,environmental,before
14.95555847,environmental,before
13.55543345,environmental,before
14.21201223,environmental,before
13.11897324,environmental,before
14.47963794,environmental,before
14.47758419,environmental,before
13.72700571,environmental,before
14.12726052,environmental,before
14.98698803,environmental,before
14.25500473,environmental,before
14.41572711,environmental,before
14.32071811,environmental,before
13.72756798,environmental,before
14.32071811,environmental,before
13.71952381,environmental,before
13.38417502,environmental,before
14.13259182,environmental,before
14.13759702,environmental,before
13.90007627,environmental,before
14.29651686,environmental,before
14.12407482,environmental,before
14.32071811,environmental,before
14.81362052,environmental,before
14.29288296,environmental,before
13.37264001,environmental,before
14.99590724,environmental,before
13.94801694,environmental,before
13.71952381,environmental,before
14.13759702,environmental,before
13.51335953,environmental,before
13.26731096,environmental,before
13.32138304,environmental,before
14.47758419,environmental,before
14.47758419,clinical,before
13.72700571,clinical,before
14.31831149,clinical,before
14.13759702,clinical,before
15.15410297,clinical,before
14.1394769,clinical,before
13.6034266,clinical,before
14.10317443,clinical,before
14.85025064,clinical,before
14.04978589,clinical,before
13.42520957,clinical,before
14.10836212,clinical,before
14.17644352,clinical,before
13.72700571,clinical,before
14.29651686,clinical,before
14.13224486,clinical,before
13.3544397,clinical,before
13.55543345,clinical,before
13.32300833,clinical,before
14.47963794,clinical,before
13.54348614,clinical,before
14.41249474,clinical,before
13.11897324,clinical,before
14.31729305,clinical,before
14.13259182,clinical,before
15.03457673,clinical,before
13.94688176,clinical,before
13.54348614,clinical,before
14.5139191,clinical,before
14.31831149,clinical,before
14.29288296,clinical,before
15.15410297,clinical,before
14.22388016,clinical,before
13.38417502,clinical,before
14.16929953,clinical,before
14.13759702,clinical,before
13.90928014,clinical,before
14.47963794,clinical,before
14.29651686,clinical,before
14.47963794,clinical,before
13.3544397,clinical,before
14.29288296,clinical,before
14.13759702,clinical,before
13.38828061,clinical,before
14.83919566,clinical,before
13.9497867,clinical,before
13.71867234,clinical,before
13.65859805,clinical,before
13.55543345,clinical,before
15.59822078,environmental,pos
15.73051705,environmental,pos
15.09593861,environmental,pos
16.20018484,environmental,pos
16.20018484,environmental,pos
16.05765439,environmental,pos
16.98190649,environmental,pos
16.20018484,environmental,pos
15.43973681,environmental,pos
14.98111319,environmental,pos
16.43815254,environmental,pos
15.21584068,environmental,pos
15.93259049,environmental,pos
15.69074869,environmental,pos
16.34160029,environmental,pos
15.50795831,environmental,pos
15.43973681,environmental,pos
15.43973681,environmental,pos
15.43973681,environmental,pos
15.43973681,environmental,pos
15.84172732,environmental,pos
16.45801792,environmental,pos
16.04305051,environmental,pos
16.12981705,environmental,pos
15.43973681,environmental,pos
16.20018484,environmental,pos
16.34160029,environmental,pos
16.04305051,environmental,pos
16.76279961,environmental,pos
15.77078962,environmental,pos
9.994695499,environmental,pos
16.04305051,environmental,pos
16.34160029,environmental,pos
16.23960591,environmental,pos
14.71883795,environmental,pos
15.97704199,environmental,pos
15.43973681,environmental,pos
14.71883795,environmental,pos
15.82783237,environmental,pos
16.34160029,environmental,pos
15.59822078,environmental,pos
16.20018484,environmental,pos
16.34160029,environmental,pos
16.04305051,environmental,pos
16.34160029,environmental,pos
9.994695499,environmental,pos
16.20018484,environmental,pos
16.04305051,environmental,pos
14.77682514,environmental,pos
15.37202643,environmental,pos
15.43973681,environmental,pos
15.35700745,environmental,pos
15.59822078,environmental,pos
10.24425371,environmental,pos
16.18566342,environmental,pos
15.05839105,environmental,pos
16.04305051,environmental,pos
17.12268752,environmental,pos
15.41409285,environmental,pos
15.43973681,environmental,pos
16.34160029,environmental,pos
11.18737116,environmental,pos
15.2414739,environmental,pos
15.12556159,environmental,pos
15.37202643,environmental,pos
16.08191153,environmental,pos
17.01236158,environmental,pos
16.22497671,environmental,pos
16.18566342,environmental,pos
16.17614218,environmental,pos
16.04305051,environmental,pos
15.40846329,environmental,pos
16.12981705,environmental,pos
15.97704199,environmental,pos
16.18566342,environmental,pos
16.34160029,environmental,pos
16.04305051,environmental,pos
16.34160029,environmental,pos
16.08191153,environmental,pos
16.34160029,environmental,pos
11.18737116,environmental,pos
16.34160029,environmental,pos
16.34160029,environmental,pos
15.24053702,environmental,pos
14.48849377,environmental,pos
15.33929636,environmental,pos
16.14096327,environmental,pos
15.43973681,environmental,pos
16.12981705,environmental,pos
16.7182489,environmental,pos
17.12268752,environmental,pos
15.97704199,environmental,pos
13.82744144,environmental,pos
16.12981705,environmental,pos
15.23347459,environmental,pos
16.04305051,environmental,pos
16.04305051,environmental,pos
15.59822078,environmental,pos
16.4691362,environmental,pos
16.18566342,environmental,pos
15.97365873,environmental,pos
14.91049975,environmental,pos
16.12981705,environmental,pos
15.59822078,environmental,pos
16.57092772,environmental,pos
16.45801792,environmental,pos
15.21584068,environmental,pos
14.27839189,environmental,pos
14.9804458,environmental,pos
15.19603185,environmental,pos
15.97704199,environmental,pos
16.31492776,environmental,pos
16.34160029,environmental,pos
15.42659798,environmental,pos
17.16874577,environmental,pos
16.34160029,environmental,pos
15.23347459,environmental,pos
16.04305051,environmental,pos
15.43973681,environmental,pos
17.12268752,environmental,pos
15.42659798,environmental,pos
10.62533543,environmental,pos
16.12045155,environmental,pos
17.16874577,environmental,pos
16.58456191,environmental,pos
16.04305051,environmental,pos
15.97365873,environmental,pos
15.97704199,environmental,pos
16.38207085,environmental,pos
15.3280814,environmental,pos
16.38207085,environmental,pos
11.18560791,environmental,pos
15.43973681,environmental,pos
15.59822078,environmental,pos
15.84172732,environmental,pos
11.29395278,environmental,pos
16.20018484,environmental,pos
11.29395278,environmental,pos
15.50843241,environmental,pos
16.82666917,environmental,pos
15.43973681,environmental,pos
14.14358601,environmental,pos
15.59822078,environmental,pos
14.894235,environmental,pos
16.34160029,environmental,pos
16.22497671,environmental,pos
15.82783237,environmental,pos
15.59822078,environmental,pos
15.59822078,environmental,pos
16.20018484,environmental,pos
16.34160029,environmental,pos
14.94299177,environmental,pos
15.59822078,environmental,pos
15.73051705,environmental,pos
16.45801792,environmental,pos
15.97704199,environmental,pos
11.29395278,environmental,pos
11.18737116,environmental,pos
16.04305051,environmental,pos
16.90176424,environmental,pos
15.2478213,environmental,pos
15.83190985,environmental,pos
16.34160029,environmental,pos
15.50870677,environmental,pos
16.18566342,environmental,pos
15.12556159,environmental,pos
16.34160029,environmental,pos
16.11148649,environmental,pos
15.43973681,environmental,pos
15.05839105,environmental,pos
16.90176424,environmental,pos
15.43973681,environmental,pos
15.99313116,environmental,pos
14.9804458,environmental,pos
16.34160029,environmental,pos
16.34160029,environmental,pos
15.59822078,environmental,pos
15.98821439,environmental,pos
16.97196164,environmental,pos
16.31199814,environmental,pos
16.45801792,environmental,pos
16.20018484,environmental,pos
15.6925177,environmental,pos
16.20018484,environmental,pos
15.6925177,environmental,pos
15.21584068,environmental,pos
16.04305051,environmental,pos
16.04305051,environmental,pos
15.84172732,environmental,pos
16.18566342,environmental,pos
16.03346484,environmental,pos
16.20018484,environmental,pos
16.82666917,environmental,pos
16.18566342,environmental,pos
15.21584068,environmental,pos
16.98190649,environmental,pos
15.8874873,environmental,pos
15.6925177,environmental,pos
16.04305051,environmental,pos
15.18090729,environmental,pos
15.12556159,environmental,pos
15.10371956,environmental,pos
16.34160029,environmental,pos
16.34160029,clinical,pos
15.59822078,clinical,pos
16.22554922,clinical,pos
16.04305051,clinical,pos
17.12268752,clinical,pos
16.05537478,clinical,pos
15.51539499,clinical,pos
15.97365873,clinical,pos
16.87054047,clinical,pos
15.97704199,clinical,pos
15.33622702,clinical,pos
15.97365873,clinical,pos
16.05765439,clinical,pos
15.59822078,clinical,pos
16.18566342,clinical,pos
15.98821439,clinical,pos
15.03726799,clinical,pos
15.43973681,clinical,pos
15.2306656,clinical,pos
16.34160029,clinical,pos
15.37202643,clinical,pos
16.31492776,clinical,pos
14.9804458,clinical,pos
16.20018484,clinical,pos
16.04305051,clinical,pos
16.99621977,clinical,pos
15.84407192,clinical,pos
15.37202643,clinical,pos
16.38207085,clinical,pos
16.22554922,clinical,pos
16.18566342,clinical,pos
17.12268752,clinical,pos
16.23514997,clinical,pos
15.21584068,clinical,pos
16.08191153,clinical,pos
16.04305051,clinical,pos
15.992103,clinical,pos
16.34160029,clinical,pos
16.18566342,clinical,pos
16.34160029,clinical,pos
15.03726799,clinical,pos
16.18566342,clinical,pos
16.04305051,clinical,pos
15.33698304,clinical,pos
16.87111039,clinical,pos
15.8969857,clinical,pos
15.59001602,clinical,pos
15.43973681,clinical,pos
15.43973681,clinical,pos
