taxon	D1005	D10074	D10088	D10119	D10122	D1081	D1114	D1220	D1253	D1327	D1359	D1382	D1409	D1433	D1466	D1595	D1611	D1631	D1636	D1651	D1661	D1668	D1688	D1736	D1764	D1778	D1949	D1979	D2005	D2006	D2088	D2179	D2373	D2394	D2508	D2654	D2711	D273	D2758	D2846	D2851	D2906	D3114	D3163	D3197	D32	D3425	D3434	D348	D35	D3657	D3665	D3731	D3737	D3827	D3829	D3913	D3918	D3981	D4144	D4216	D4275	D443	D4907	D4976	D5122	D5419	D5444	D5680	D5884	D5887	D5925	D6007	D6042	D6088	D6124	D6295	D6307	D6376	D6383	D6497	D6511	D6516	D6647	D6689	D6724	D6772	D688	D6993	D7378	D7394	D73	D7452	D7469	D7582	D7709	D7779	D777	D7957	D7995	D8095	D81	D8392	D857	D8714	D8718	D8906	D9006	D9072	D907	D911	D9145	D9164	D927	D940	D9429	D9441	D95	D9637	D9646	D9719	D9834	D994	D9951
k__Eukaryota	478728	428300	572319	535877	446763	474699	514528	558061	540725	437390	553570	521915	453387	488728	482663	415212	439173	376740	523622	365237	336758	358074	399720	468436	476429	451794	410830	479962	390804	423955	481714	459760	440835	441742	506460	365050	369889	785415	419342	492883	519452	390769	448659	530835	442699	766352	411180	439346	454215	413053	520491	458824	441953	334431	401092	439730	481063	424401	546733	413972	597971	913716	516576	610581	398254	453108	427758	439522	428784	425829	486451	624645	461029	401979	497437	458500	523205	547521	384596	426482	402726	483402	667954	506869	467599	762207	616655	580905	544492	516912	431591	1165042	390879	521979	548487	430750	548818	949152	636901	496397	458835	429137	421279	523787	530709	712101	509516	732337	503255	910543	441236	413220	598794	482736	511115	407586	576567	413112	433247	444941	442850	411816	527982	457725
k__Eukaryota|k__Metazoa	478728	428300	572319	535877	446763	474699	514528	558061	540725	437390	553570	521915	453387	488728	482663	415212	439173	376740	523622	365237	336758	358074	399720	468436	476429	451794	410830	479962	390804	423955	481714	459760	440835	441742	506460	365050	369889	785415	419342	492883	519452	390769	448659	530835	442699	766352	411180	439346	454215	413053	520491	458824	441953	334431	401092	439730	481063	424401	546733	413972	597971	913716	516576	610581	398254	453108	427758	439522	428784	425829	486451	624645	461029	401979	497437	458500	523205	547521	384596	426482	402726	483402	667954	506869	467599	762207	616655	580905	544492	516912	431591	1165042	390879	521979	548487	430750	548818	949152	636901	496397	458835	429137	421279	523787	530709	712101	509516	732337	503255	910543	441236	413220	598794	482736	511115	407586	576567	413112	433247	444941	442850	411816	527982	457725
k__Eukaryota|k__Metazoa|p__Chordata	478728	428300	572319	535877	446763	474699	514528	558061	540725	437390	553570	521915	453387	488728	482663	415212	439173	376740	523622	365237	336758	358074	399720	468436	476429	451794	410830	479962	390804	423955	481714	459760	440835	441742	506460	365050	369889	785415	419342	492883	519452	390769	448659	530835	442699	766352	411180	439346	454215	413053	520491	458824	441953	334431	401092	439730	481063	424401	546733	413972	597971	913716	516576	610581	398254	453108	427758	439522	428784	425829	486451	624645	461029	401979	497437	458500	523205	547521	384596	426482	402726	483402	667954	506869	467599	762207	616655	580905	544492	516912	431591	1165042	390879	521979	548487	430750	548818	949152	636901	496397	458835	429137	421279	523787	530709	712101	509516	732337	503255	910543	441236	413220	598794	482736	511115	407586	576567	413112	433247	444941	442850	411816	527982	457725
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	478728	428300	572319	535877	446763	474699	514528	558061	540725	437390	553570	521915	453387	488728	482663	415212	439173	376740	523622	365237	336758	358074	399720	468436	476429	451794	410830	479962	390804	423955	481714	459760	440835	441742	506460	365050	369889	785415	419342	492883	519452	390769	448659	530835	442699	766352	411180	439346	454215	413053	520491	458824	441953	334431	401092	439730	481063	424401	546733	413972	597971	913716	516576	610581	398254	453108	427758	439522	428784	425829	486451	624645	461029	401979	497437	458500	523205	547521	384596	426482	402726	483402	667954	506869	467599	762207	616655	580905	544492	516912	431591	1165042	390879	521979	548487	430750	548818	949152	636901	496397	458835	429137	421279	523787	530709	712101	509516	732337	503255	910543	441236	413220	598794	482736	511115	407586	576567	413112	433247	444941	442850	411816	527982	457725
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	478728	428300	572319	535877	446763	474699	514528	558061	540725	437390	553570	521915	453387	488728	482663	415212	439173	376740	523622	365237	336758	358074	399720	468436	476429	451794	410830	479962	390804	423955	481714	459760	440835	441742	506460	365050	369889	785415	419342	492883	519452	390769	448659	530835	442699	766352	411180	439346	454215	413053	520491	458824	441953	334431	401092	439730	481063	424401	546733	413972	597971	913716	516576	610581	398254	453108	427758	439522	428784	425829	486451	624645	461029	401979	497437	458500	523205	547521	384596	426482	402726	483402	667954	506869	467599	762207	616655	580905	544492	516912	431591	1165042	390879	521979	548487	430750	548818	949152	636901	496397	458835	429137	421279	523787	530709	712101	509516	732337	503255	910543	441236	413220	598794	482736	511115	407586	576567	413112	433247	444941	442850	411816	527982	457725
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	478728	428300	572319	535877	446763	474699	514528	558061	540725	437390	553570	521915	453387	488728	482663	415212	439173	376740	523622	365237	336758	358074	399720	468436	476429	451794	410830	479962	390804	423955	481714	459760	440835	441742	506460	365050	369889	785415	419342	492883	519452	390769	448659	530835	442699	766352	411180	439346	454215	413053	520491	458824	441953	334431	401092	439730	481063	424401	546733	413972	597971	913716	516576	610581	398254	453108	427758	439522	428784	425829	486451	624645	461029	401979	497437	458500	523205	547521	384596	426482	402726	483402	667954	506869	467599	762207	616655	580905	544492	516912	431591	1165042	390879	521979	548487	430750	548818	949152	636901	496397	458835	429137	421279	523787	530709	712101	509516	732337	503255	910543	441236	413220	598794	482736	511115	407586	576567	413112	433247	444941	442850	411816	527982	457725
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae|g__Homo	478728	428300	572319	535877	446763	474699	514528	558061	540725	437390	553570	521915	453387	488728	482663	415212	439173	376740	523622	365237	336758	358074	399720	468436	476429	451794	410830	479962	390804	423955	481714	459760	440835	441742	506460	365050	369889	785415	419342	492883	519452	390769	448659	530835	442699	766352	411180	439346	454215	413053	520491	458824	441953	334431	401092	439730	481063	424401	546733	413972	597971	913716	516576	610581	398254	453108	427758	439522	428784	425829	486451	624645	461029	401979	497437	458500	523205	547521	384596	426482	402726	483402	667954	506869	467599	762207	616655	580905	544492	516912	431591	1165042	390879	521979	548487	430750	548818	949152	636901	496397	458835	429137	421279	523787	530709	712101	509516	732337	503255	910543	441236	413220	598794	482736	511115	407586	576567	413112	433247	444941	442850	411816	527982	457725
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae|g__Homo|s__Homo_sapiens	478728	428300	572319	535877	446763	474699	514528	558061	540725	437390	553570	521915	453387	488728	482663	415212	439173	376740	523622	365237	336758	358074	399720	468436	476429	451794	410830	479962	390804	423955	481714	459760	440835	441742	506460	365050	369889	785415	419342	492883	519452	390769	448659	530835	442699	766352	411180	439346	454215	413053	520491	458824	441953	334431	401092	439730	481063	424401	546733	413972	597971	913716	516576	610581	398254	453108	427758	439522	428784	425829	486451	624645	461029	401979	497437	458500	523205	547521	384596	426482	402726	483402	667954	506869	467599	762207	616655	580905	544492	516912	431591	1165042	390879	521979	548487	430750	548818	949152	636901	496397	458835	429137	421279	523787	530709	712101	509516	732337	503255	910543	441236	413220	598794	482736	511115	407586	576567	413112	433247	444941	442850	411816	527982	457725
k__Bacteria	11912	72799	432814	30658	57633	73265	58996	306132	3105	3688	49281	809437	132367	15284	2546	42409	518596	5741	6995	716302	2077881	4802389	203324	14426	61152	14735	286708	15365	4364	201095	33558	23585	380984	61925	7495	64516	764383	19769	36500	11276	1265	3490	138247	41765	37634	71589	1216715	54225	430569	450128	123671	9434	7023	3496	52887	31557	44357	210873	2007	219216	25200	23890	11280	85542	103517	112828	51244	8348	1301648	109903	28625	21546	336675	27959	611301	16402	73326	1111961	1051	16804	734195	3897	902596	2518	45854	72095	1351902	4951	35435	198687	319549	620632	213474	15344	2416	8663	514352	516486	519906	1234	131277	25400	18501	5584	6690	192282	98609	29362	5500	8246	237708	60218	51742	162929	182690	6482	67461	5584085	73664	11979	18959	26074	1240	20618
k__Bacteria|f__Candidatus_Chazhemtobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
k__Bacteria|f__Candidatus_Chazhemtobacteraceae|g__Candidatus_Chazhemtobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
k__Bacteria|f__Candidatus_Chazhemtobacteraceae|g__Candidatus_Chazhemtobacterium|s__Candidatus_Chazhemtobacterium_aquaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
k__Bacteria|s__Candidatus_Dependentiae_bacterium_(ex_Spumella_elongata_CCAP_955/1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|g__Vampirococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k__Bacteria|g__Vampirococcus|s__Vampirococcus_sp._LiM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k__Bacteria|p__candidate_division_Zixibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
k__Bacteria|p__candidate_division_Zixibacteria|s__candidate_division_Zixibacteria_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
k__Bacteria|p__Caldiserica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum_exile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
