Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
ACETOOHBUTREDUCTOISOMRXNMetaCyc[c],30.60421715,29.59024653,30.37743225,30.05323638,31.05401619,31.07618731,29.61077819,30.92101027,0,29.59581293,30.41594401,31.82589137,31.14531164,0,31.43053905,29.63682185,30.4385901,30.39120276,30.55107078,0,30.55757736,31.19691057,30.60801957,0,30.27575023,31.21700891,31.1109791,30.23320314,30.68550733,30.44441281,29.98256591,29.96271183,33.7583022,30.27244805,30.73192478,30.46878742,29.7643681,30.36665605,30.54705433,0,0,30.37543056,29.55944913,29.87611133,30.13551487,30.3698871,30.52003465,0,0
ACETOOHBUTREDUCTOISOMRXNMetaCyc[m],0,29.67751031,29.69852806,29.14955372,30.46995687,29.97020459,29.74892878,0,29.19004635,29.62119773,29.76917012,0,29.95537319,29.31510356,30.87505955,29.62119773,29.83165296,29.35209985,29.97967829,31.52492045,29.99531975,29.9869009,30.0861304,28.99239707,30.10073333,30.05789374,29.99531975,30.26288475,30.43068025,29.84563628,29.07061584,29.61904107,0,29.59961455,0,30.32973632,29.76923129,29.3080695,29.9730835,28.74460301,31.29437726,29.69372098,29.37042231,29.04621935,29.28233097,29.58846228,29.91090763,29.02606415,30.45079004
ACETOOHBUTSYNRXNMetaCyc[c],30.60421715,29.59024653,30.37743225,30.05323638,31.05401619,31.07618731,29.61077819,30.92101027,0,29.59581293,30.41594401,31.82589137,31.14531164,0,31.43053905,29.63682185,30.4385901,30.39120276,30.55107078,0,30.55757736,31.19691057,30.60801957,0,0,31.21700891,31.1109791,30.23320314,30.68550733,30.44441281,29.98256591,29.96271183,33.7583022,30.27244805,30.73192478,30.46878742,29.7643681,30.36665605,30.54705433,0,0,30.37543056,29.55944913,29.87611133,30.13551487,30.3698871,30.52003465,0,30.46501309
ACETOOHBUTSYNRXNMetaCyc[m],0,29.67751031,29.69852806,29.14955372,0,29.97020459,29.74892878,0,29.19004635,29.62119773,29.76917012,0,29.95537319,29.31510356,0,29.62119773,29.83165296,29.35209985,29.97967829,31.52492045,29.99531975,29.9869009,30.0861304,28.99239707,30.10073333,30.05789374,29.99531975,30.26288475,30.43068025,29.84563628,29.07061584,29.61904107,0,29.59961455,30.20745102,30.32973632,29.76923129,29.3080695,29.9730835,28.74460301,31.29437726,29.69372098,29.37042231,29.04621935,29.28233097,29.58846228,29.91090763,29.02606415,30.45079004
Biomass_formation[c],12.46342266,12.62457976,13.19177956,13.04019674,12.57711827,13.07595901,12.47992019,12.9492828,13.68388352,12.63121203,13.09320149,12.85640464,13.40213497,12.64668498,12.3330647,12.63121203,13.21355924,12.34377872,13.06120261,13.89243789,13.06189522,13.36383913,13.2455652,12.12295974,13.70319427,13.08161219,13.06189522,13.00029927,13.98816834,13.19663179,12.86277765,12.33196306,12.45659583,13.20275805,12.37016916,13.98816834,12.48643992,12.3262208,13.36327085,13.33465292,13.36240246,13.20931757,12.46605897,12.86679471,13.20391807,13.04477937,13.3780124,13.08822301,13.08367389
CDPDIGLYSYNRXNMetaCyc[er],0,0,,0,6.838896112,0,6.993916477,0,0,0,7.616991819,0,7.140133233,6.56938878,0,0,0,0,0,0,0,0,0,6.730428968,,0,0,0,,0,0,7.174431347,0,0,0,0,7.057138295,7.153706344,0,,0,0,0,0,0,0,0,0,0
CYANIDEHYDRATASERXNMetaCyc[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0
CYANIDEHYDRATASERXNMetaCyc[n],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0
CYSTATHIONINEBETASYNTHASERXNMetaCyc[c],15.05903864,15.17159766,17.16753409,13.9716782,18.82634979,18.20954411,15.04683163,17.88147809,13.76020724,15.12370011,14.62910757,19.79442053,17.80802341,13.84367116,16.17569203,15.3497104,17.82962599,14.38331316,14.83363689,18.85433433,17.8693472,17.86527625,18.5073972,13.38497513,17.14280197,16.03913046,15.93083045,16.38287757,17.92800047,17.41014189,16.31941506,15.61201746,18.01398075,16.40015697,18.20197372,15.04054021,15.28669568,14.07886132,17.63530042,12.84207455,17.61742013,17.63518167,14.08536377,16.31405879,16.67973126,17.68894837,18.07477854,14.95974343,17.20242994
CYTDEAMRXNMetaCyc[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
