Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
ACETOOHBUTREDUCTOISOMRXNMetaCyc[c],41.01715449,40.42639119,41.08600544,40.34211347,41.93652051,40.87374768,40.34196703,42.00302263,0,40.37087588,40.92167754,44.59450932,41.46676734,40.37370317,42.38820322,40.39368647,40.95556555,40.2492717,41.0608178,0,41.06846709,41.51119273,41.10511659,0,0,40.70479075,41.06846709,0,41.55098145,41.17059055,40.17566,40.37579116,44.87248541,40.7283611,41.34508923,41.24481396,40.31869533,40.36840571,41.4829526,0,0,40.88506306,40.23326561,40.01567002,40.57446595,40.42609355,41.21893364,0,0
ACETOOHBUTREDUCTOISOMRXNMetaCyc[m],0,40.562541,39.80081337,38.75019829,39.65811599,39.25429751,40.59203453,0,38.90714447,40.50289266,38.84456673,0,40.16322225,40.60979961,40.15815798,40.50843843,39.08763002,38.81355321,39.40746929,41.39513548,38.99443741,40.17879604,39.49186649,39.56151473,39.94302053,39.0779385,39.04284683,40.61615955,40.78158388,39.57843044,38.47353708,40.37715113,43.06855548,39.6514269,39.13205304,40.61053086,40.45500734,39.07569294,40.1531205,39.3413188,41.27545545,39.02155802,40.29258466,38.6680858,0,38.76162021,39.64929329,39.18305368,41.61860497
ACETOOHBUTSYNRXNMetaCyc[c],41.01715449,40.42639119,41.08600544,40.34211347,41.93652051,40.87374768,40.34196703,42.00302263,0,40.37087588,40.92167754,44.59450932,41.46676734,40.37370317,42.38820322,40.39368647,40.95556555,40.2492717,41.0608178,0,41.06846709,41.51119273,41.10511659,41.03109665,0,40.70479075,41.06846709,0,41.55098145,41.17059055,40.17566,40.37579116,44.87248541,40.7283611,41.34508923,41.24481396,40.31869533,40.36840571,41.4829526,0,0,40.88506306,40.23326561,40.01567002,40.57446595,40.42609355,41.21893364,0,0
ACETOOHBUTSYNRXNMetaCyc[m],0,40.562541,39.80081337,38.37251216,39.65811599,38.90774425,40.59203453,0,38.90714447,40.50289266,39.21342781,0,40.16322225,40.60979961,40.15815798,40.50843843,39.35778202,38.81355321,39.40746929,41.39513548,38.99443741,40.17879604,39.49186649,39.56151473,39.94302053,39.0779385,39.46339298,40.61615955,40.78158388,39.57843044,38.47353708,40.37715113,43.06855548,39.6514269,39.13205304,40.61053086,40.45500734,39.07569294,40.1531205,39.3413188,41.28867298,39.34949256,40.29258466,38.6680858,0,38.76162021,39.64929329,39.18305368,41.61860497
Biomass_formation[c],14.2361098,14.42399291,14.94468654,14.81462364,14.34280792,14.81981538,14.28874947,14.73325455,15.58029388,14.43193987,14.85509576,14.762249,15.13774525,14.2989591,14.08082319,14.43193987,14.94846172,13.88893304,14.81330221,15.72669917,14.81384918,15.0928889,14.96805332,13.85688419,15.58512653,14.77934935,14.81384918,14.75499085,15.82158917,14.94726665,14.61869542,14.09379978,14.22912496,14.9817663,14.1719277,15.82158917,14.28974815,13.88424698,15.09198615,15.11070353,15.10835777,14.9464598,14.23702349,14.66346049,14.98151359,14.75284639,15.09403933,14.97428861,14.84955296
CDPDIGLYSYNRXNMetaCyc[er],0,0,,0,6.697772576,0,6.791276621,0,0,0,7.34018616,0,7.103464727,6.519999192,0,0,0,0,0,0,0,0,0,6.679378586,,0,0,0,,0,0,6.873912674,0,0,0,0,6.780299956,7.082897461,0,,0,0,0,0,0,0,0,0,0
CYANIDEHYDRATASERXNMetaCyc[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0
CYANIDEHYDRATASERXNMetaCyc[n],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0
CYSTATHIONINEBETASYNTHASERXNMetaCyc[c],17.14869128,17.45290232,18.89590312,15.6819733,21.12226043,19.10712355,16.95291075,19.6418542,15.933873,17.39056066,16.17340876,23.19078804,19.47234466,15.48096197,18.5547702,17.44238524,19.00303698,15.66611915,16.29316601,21.03568475,19.03387178,19.48333136,19.44074449,14.90225262,19.40657089,18.08603981,17.46456871,18.59932868,20.17663991,18.99707839,18.05779916,17.05925745,21.96671598,18.34030625,20.62330968,17.07217058,16.98570679,15.50977663,19.40731028,14.80105334,19.55947774,18.91805244,15.69566167,17.82172411,18.37808216,18.87056328,19.37609305,16.48448902,19.64048671
CYTDEAMRXNMetaCyc[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
