Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
ACETOOHBUTREDUCTOISOMRXNMetaCyc[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACETOOHBUTREDUCTOISOMRXNMetaCyc[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACETOOHBUTSYNRXNMetaCyc[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACETOOHBUTSYNRXNMetaCyc[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biomass_formation[c],12.0746888,12.23087598,12.7484419,12.61136159,12.16483929,12.60417987,12.0828734,12.53725627,13.2503175,12.23830559,12.64692694,12.44644777,12.95708455,12.25057592,11.91345727,12.23830559,12.75269755,11.90482811,12.6096697,13.41747163,12.6096697,12.91750652,12.77041097,11.75549693,13.26026698,12.6063553,12.6096697,12.58486083,13.52504524,12.75269755,12.43856923,11.93130879,12.0052226,12.78103771,11.97120791,13.52504524,12.0828734,11.90482811,12.91750652,12.92968759,12.914673,12.7484419,12.0746888,12.43965526,12.78103771,12.57923264,12.91750652,12.68756617,12.64463154
CDPDIGLYSYNRXNMetaCyc[er],0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
CYANIDEHYDRATASERXNMetaCyc[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0
CYANIDEHYDRATASERXNMetaCyc[n],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0
CYSTATHIONINEBETASYNTHASERXNMetaCyc[c],-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649,-11.13222649
CYTDEAMRXNMetaCyc[c],-316.6928668,-319.91922,-311.7250931,-297.588785,-259.8343345,-300.1332642,-309.9992099,-336.7489945,-425.2816892,-319.0328025,-301.5085376,-340.2214582,-319.3557691,-338.2046323,-253.0518185,-318.3523206,-309.9833879,-290.9058088,-298.4635311,-497.1301929,-298.7450775,-315.1279852,-304.2844837,-331.9340897,-400.3275176,-297.1926215,-298.7450775,-364.2348923,-424.5401033,-310.2350877,-294.2567707,-293.0280942,-292.8484437,-323.0192199,-252.0983352,-424.5401033,-302.4943924,-292.4378267,-314.8792721,-482.5498907,-375.9213072,-311.6385656,-307.0224832,-296.134518,-313.5870498,-306.0476539,-314.0228281,-445.5960383,-352.5072646
