Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
ACETOOHBUTREDUCTOISOMRXNMetaCyc[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACETOOHBUTREDUCTOISOMRXNMetaCyc[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACETOOHBUTSYNRXNMetaCyc[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACETOOHBUTSYNRXNMetaCyc[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biomass_formation[c],13.79562637,13.97441035,14.46379379,14.34561026,13.89537042,14.33451843,13.85154936,14.28115124,15.08966727,13.98289907,14.37745864,14.32917988,14.64910343,13.86102099,13.63776797,13.98289907,14.46379379,13.42931416,14.33451843,15.19444476,14.33451843,14.60482688,14.47706859,13.45231596,15.08915434,14.28653764,14.33451843,14.27343754,15.30826574,14.46379379,14.15680941,13.65830184,13.7327767,14.50823204,13.73347933,15.30826574,13.85154936,13.42931416,14.60482688,14.64613626,14.60482688,14.46379379,13.79562637,14.2030601,14.50823204,14.27343754,14.60482688,14.51573863,14.34766192
CDPDIGLYSYNRXNMetaCyc[er],0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
CYANIDEHYDRATASERXNMetaCyc[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0
CYANIDEHYDRATASERXNMetaCyc[n],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0
CYSTATHIONINEBETASYNTHASERXNMetaCyc[c],-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996,-12.09334996
CYTDEAMRXNMetaCyc[c],-371.6286362,-376.7101889,-369.3192015,-354.4608309,-301.4804899,-342.7807062,-366.9037747,-388.4839306,-509.7803997,-375.09352,-356.9274827,-409.4857937,-380.4246291,-368.6244551,-293.4825158,-374.52139,-358.1705367,-339.0544884,-350.7841485,-600.359637,-350.9129696,-374.3803094,-348.5425567,-365.1804339,-486.1284125,-337.8300059,-350.9129696,-463.3102794,-506.0939223,-369.1454363,-349.0458322,-342.5419861,-347.2029413,-387.0238751,-295.4179216,-506.0939223,-354.1606649,-349.6666458,-373.945965,-525.6738388,-469.4449957,-358.5892787,-359.2518726,-347.6236659,-375.1208063,-344.2779763,-363.6027452,-516.2502696,-436.1749728
